ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock,Bonus
8888,InitializeStudy,,"[101  60 109 117  11 119  43  96  39  28  84   3   1   9 112  87  86 111
  55  95  24  33 105  19  10  26  64  17  89  37  72  75  79  44  90  22
  62 106  32  27  59  99  88 102  56  65 115  91  68  93  12  25  40  78
  81  35  16  61  29 118  67  46 120  52  20  30  53  70  80  69  42  47
  94  74  14  57  36   5  92  98  85  51  41  63  23   7 110  73  58   4
  71  82 108  13  76  83 104   6  18  48  34  66  50  31  77  45 100  15
  97 103 113  54 107 116  49   8 114  21  38   2]",,,0.00028795795515179634,,,,,,,,
,Instruction_1,,,,,86.708458957728,,,,,,,,
,Instruction_2,,,,,87.18523625005037,,,,,,,,
,Instruction_3,,,,,88.44847279181704,,,,,,,,
,Instruction_4,,,,,92.45500204199925,,,,,,,,
,Travel_Planet,,,,,93.4610742079094,,,,,,,,
,Instruction_5,,,,,103.57742995768785,,,,,,,,
,Instruction_6,,,,,104.69871525000781,,,,,,,,
,Instruction_7,,,,,109.0389193748124,,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,112.35257137473673,,,,,,,,
,Instruction_8,,,,,114.10892966669053,,,,,,,,
,Practice_Trial,,,,,123.68977166712284,1.5757687077857554,,,,,,,
,Practice_Trial,,,,,128.22791095776483,1.5353265418671072,,,,,,,
,Instruction_Button,,,,,139.4762350418605,,,,,,,,
,start_loop,1,,,,140.48385158274323,,,1,0.5910728202298029,0,102,,
,Dig_Trial_1,,,,,150.24575391691178,1.2666170420125127,,,,,60,,
,Dig_Trial_2,,,,,154.18590629193932,0.4357969588600099,,,,,35,,
,Travel_Planet,,,,,155.18968087481335,,,,,,,,
,alien_visit,,,,,169.18798745796084,,,1,0.5491098567541823,1,99,,
,Dig_Trial_3,,,,,172.98991295788437,0.2967548333108425,,,,,54,,
,Dig_Trial_4,,,,,177.62715641688555,1.1349612497724593,,,,,30,,
,Dig_Trial_5,,,,,181.39607287477702,0.26056258333846927,,,,,16,,
,Travel_Planet,,,,,182.40567095810547,,,,,,,,
,home_base,,,,,191.50596583308652,,,,,,,51.022167166695,
,start_loop,2,,,,193.73785045789555,,,1,0.45644409244923895,2,102,,
,Dig_Trial_6,,,,,202.4740292080678,0.23216316709294915,,,,,47,,
,Dig_Trial_7,,,,,206.33345704199746,0.3553151246160269,,,,,21,,
,Dig_Trial_8,,,,,209.91146529186517,0.07390737487003207,,,,,10,,
,Travel_Planet,,,,,210.92649912508205,,,,,,,,
,alien_visit,,,,,224.92177062481642,,,1,0.48272787586414645,3,102,,
,Dig_Trial_9,,,,,228.78629729198292,0.37058799993246794,,,,,49,,
,Dig_Trial_10,,,,,232.67135395808145,0.38172920793294907,,,,,24,,
,Dig_Trial_11,,,,,236.18387079192325,0.01206800015643239,,,,,12,,
,Travel_Planet,,,,,237.18860320793465,,,,,,,,
,home_base,,,,,246.44465554179624,,,,,,,52.706855833064765,
,start_loop,3,,,,248.89267829200253,,,2,0.8547173431022065,4,98,,
,Dig_Trial_12,,,,,257.41168429190293,0.01188820879906416,,,,,84,,
,Travel_Planet,,,,,258.4130177916959,,,,,,,,
,alien_visit,,,,,272.41779454192147,,,2,0.8236994246366919,5,101,,
,Dig_Trial_13,,,,,275.9684939580038,0.05164062511175871,,,,,83,,
,Dig_Trial_14,,,,,279.77000083308667,0.29961999971419573,,,,,68,,
,Dig_Trial_15,,,,,283.82330729207024,0.5512778339907527,,,,,56,,
,Dig_Trial_16,,,,,287.95834020804614,0.6333174998871982,,,,,46,,
,Dig_Trial_17,,,,,291.73296570777893,0.2719187093898654,,,,,38,,
,Dig_Trial_18,,,,,295.65155970770866,0.4142732499167323,,,,,31,,
,Travel_Planet,,,,,296.6624563750811,,,,,,,,
,home_base,,,,,305.8495470001362,,,,,,,56.956922124605626,
,start_loop,4,,,,308.3665424170904,,,0,0.2087392132725768,6,95,,
,Dig_Trial_19,,,,,317.34020983288065,0.4679507501423359,,,,,20,,
,Dig_Trial_20,,,,,321.3585819997825,0.5167554998770356,,,,,4,,
,Travel_Planet,,,,,322.36240524984896,,,,,,,,
,alien_visit,,,,,336.36223804205656,,,0,0.17817092386936786,7,93,,
,Dig_Trial_21,,,,,339.8754372918047,0.010552291292697191,,,,,17,,
,Dig_Trial_22,,,,,344.1704959170893,0.7877691248431802,,,,,3,,
,Travel_Planet,,,,,345.1894882498309,,,,,,,,
,home_base,,,,,354.41431637480855,,,,,,,46.047819832805544,
,start_loop,5,,,,356.74925429187715,,,1,0.5787413628378963,8,101,,
,Dig_Trial_23,,,,,365.558450916782,0.3025737917050719,,,,,58,,
,Dig_Trial_24,,,,,369.6478246669285,0.5822272915393114,,,,,34,,
,Dig_Trial_25,,,,,374.00388229172677,0.8516419590450823,,,,,20,,
,Dig_Trial_26,,,,,377.51904525002465,0.01038029184564948,,,,,12,,
,Travel_Planet,,,,,378.52194212470204,,,,,,,,
,alien_visit,,,,,392.52261833287776,,,2,0.8513876936865616,9,107,,
,Dig_Trial_27,,,,,396.0336142918095,0.013131916988641024,,,,,91,,
,Travel_Planet,,,,,397.04264874989167,,,,,,,,
,home_base,,,,,406.3114545000717,,,,,,,49.562311333138496,
,EndStudy,,,,,414.16178291710094,,,,,,,,0
